Year,Inflation Rate (%),Gas Price Avg
2003,2.6,1.5
2003,3,1.655
2003,3,1.734
2003,2.2,1.633
2003,2.1,1.539
2003,2.1,1.533
2003,2.1,1.554
2003,2.2,1.661
2003,2.3,1.721
2003,2,1.606
2003,1.8,1.555
2003,1.9,1.522
2004,1.9,1.614
2004,1.7,1.69
2004,1.7,1.778
2004,2.3,1.839
2004,3.1,2.023
2004,3.3,2.013
2004,3,1.954
2004,2.7,1.92
2004,2.5,1.912
2004,3.2,2.042
2004,3.5,2.023
2004,3.3,1.887
2005,3,1.875
2005,3,1.953
2005,3.1,2.12
2005,3.5,2.285
2005,2.8,2.205
2005,2.5,2.198
2005,3.2,2.333
2005,3.6,2.529
2005,4.7,2.951
2005,4.3,2.765
2005,3.5,2.303
2005,3.3,2.229
2006,4,2.36
2006,3.6,2.326
2006,3.4,2.468
2006,3.5,2.787
2006,4.2,2.953
2006,4.3,2.93
2006,4.1,3.025
2006,3.8,2.999
2006,2.1,2.606
2006,1.3,2.293
2006,2,2.275
2006,2.5,2.369
2007,2.1,2.289
2007,2.4,2.323
2007,2.8,2.609
2007,2.6,2.891
2007,2.7,3.187
2007,2.7,3.102
2007,2.4,3.011
2007,2,2.834
2007,2.8,2.849
2007,3.5,2.853
2007,4.3,3.128
2007,3.1,3.07
2008,4.3,3.095
2008,4,3.078
2008,4,3.293
2008,3.9,3.507
2008,4.2,3.815
2008,5,4.105
2008,5.6,4.114
2008,5.4,3.833
2008,4.9,3.756
2008,3.7,3.112
2008,1.1,2.208
2008,0.1,1.745
2009,0.2,1.84
2009,-0.4,1.97
2009,-0.7,2.011
2009,-1.3,2.102
2009,-1.4,2.316
2009,-2.1,2.681
2009,-1.5,2.582
2009,-1.3,2.67
2009,-0.2,2.609
2009,1.8,2.605
2009,2.7,2.706
2010,2.6,2.769
2010,2.1,2.699
2010,2.3,2.824
2010,2.2,2.9
2010,2,2.89
2010,1.1,2.785
2010,1.2,2.782
2010,1.1,2.783
2010,1.1,2.757
2010,1.2,2.853
2010,1.1,2.913
2010,1.5,3.048
2011,1.6,3.148
2011,2.1,3.284
2011,2.7,3.615
2011,3.2,3.852
2011,3.6,3.96
2011,3.6,3.735
2011,3.8,3.705
2011,3.9,3.696
2011,3.5,3.667
2011,3.4,3.506
2011,3,3.443
2012,2.9,3.326
2012,2.9,3.44
2012,2.7,3.64
2012,2.3,3.907
2012,1.7,3.958
2012,1.7,3.791
2012,1.4,3.596
2012,1.7,3.498
2012,2,3.78
2012,2.2,3.91
2012,1.8,3.812
2012,1.7,3.521
2013,1.6,3.391
2013,2,3.779
2013,1.5,3.638
2013,1.1,3.675
2013,1.4,3.689
2013,1.8,3.661
2013,2,3.645
2013,1.5,3.604
2013,1.2,3.42
2013,1,3.322
2013,1.2,3.357
2013,1.5,3.357
2014,1.6,3.392
2014,1.1,3.434
2014,1.5,3.606
2014,2,3.735
2014,2.1,3.75
2014,2.1,3.766
2014,2,3.688
2014,1.7,3.565
2014,1.7,3.484
2014,1.7,3.255
2014,1.3,2.997
2014,0.8,2.632
2015,-0.1,2.208
2015,0,2.301
2015,-0.1,2.546
2015,-0.2,2.555
2015,0,2.802
2015,0.1,2.885
2015,0.2,2.88
2015,0.2,2.726
2015,0,2.462
2015,0.2,2.387
2015,0.5,2.26
2015,0.7,2.144
2016,1.4,2.057
2016,1,1.872
2016,0.9,2.071
2016,1.1,2.216
2016,1,2.371
2016,1,2.467
2016,0.8,2.345
2016,1.1,2.284
2016,1.5,2.327
2016,1.6,2.359
2016,1.7,2.295
2016,2.1,2.366
2017,2.5,2.458
2017,2.7,2.416
2017,2.4,2.437
2017,2.2,2.528
2017,1.9,2.503
2017,1.6,2.46
2017,1.7,2.414
2017,1.9,2.494
2017,2.2,2.761
2017,2,2.621
2017,2.2,2.678
2017,2.1,2.594
2018,2.1,2.671
2018,2.2,2.705
2018,2.4,2.709
2018,2.5,2.873
2018,2.8,2.987
2018,2.9,2.97
2018,2.9,2.928
2018,2.7,2.914
2018,2.3,2.915
2018,2.5,2.943
2018,2.2,2.736
2018,1.9,2.457
2019,1.6,2.338
2019,1.5,2.393
2019,1.9,2.594
2019,2,2.881
2019,1.8,2.946
2019,1.6,2.804
2019,1.8,2.823
2019,1.7,2.707
2019,1.7,2.681
2019,1.8,2.724
2019,2.1,2.693
2019,2.3,2.645
2020,2.5,2.636
2020,2.3,2.533
2020,1.5,2.329
2020,0.3,1.938
2020,0.1,1.961
2020,0.6,2.17
2020,1,2.272
2020,1.3,2.272
2020,1.4,2.274
2020,1.2,2.248
2020,1.2,2.2
2020,1.4,2.284
2021,1.4,2.42
2021,1.7,2.587
2021,2.6,2.898
2021,4.2,2.948
2021,5,3.076
2021,5.4,3.157
2021,5.4,3.231
2021,5.3,3.255
2021,5.4,3.272
2021,6.2,3.384
2021,6.8,3.491
2021,7,3.406
2022,1.4,3.413
2022,1.7,3.611
2022,2.6,4.322
2022,4.2,4.213
2022,5,4.545
2022,5.4,5.032
2022,5.4,4.668
2022,5.3,4.087
2022,5.4,3.817
2022,6.2,3.935
2022,6.8,3.799
2022,7,3.324
2023,6.4,3.445
2023,6,3.501
2023,5,3.535
2023,4.9,3.711
2023,4,3.666
2023,3,3.684
2023,3.2,3.712
2023,3.7,3.954
2023,3.7,3.958
2023,3.2,3.742
2023,4.1,3.443
2023,4.1,3.257
